#;Result;Status;Operator;Program Graph Node;Minimal?;Primitive Arc?;Source Primitive Arc?;Target Primitive Arc?;Equivalent?;Distance Begin;Distance Begin (min);Distance Begin (max);Distance Begin (avg);Distance End;Distance End (min);Distance End (max);Distance End (avg);Source Node;Target Node;Sources Nodes are primitive?;Targets Nodes are primitive?;Complexity;Type Statement
233;Dead;Active;u-OLNG;4;0;1;1;0;0;[2];2;2;2.0;[2, 6, 9];2;9;5.666666666666667;[2];[5, 7];[0];[1, 1];221;If
234;Dead;Active;u-OLRN;4;0;1;1;0;0;[2];2;2;2.0;[2, 6, 9];2;9;5.666666666666667;[2];[5, 7];[0];[1, 1];221;If
235;Dead;Active;u-OLRN;4;0;1;1;0;0;[2];2;2;2.0;[2, 6, 9];2;9;5.666666666666667;[2];[5, 7];[0];[1, 1];221;If
236;Dead;Active;u-OLRN;4;0;1;1;0;0;[2];2;2;2.0;[2, 6, 9];2;9;5.666666666666667;[2];[5, 7];[0];[1, 1];221;If
237;Dead;Active;u-OLRN;4;0;1;1;0;0;[2];2;2;2.0;[2, 6, 9];2;9;5.666666666666667;[2];[5, 7];[0];[1, 1];221;If
238;Dead;Active;u-OLRN;4;0;1;1;0;0;[2];2;2;2.0;[2, 6, 9];2;9;5.666666666666667;[2];[5, 7];[0];[1, 1];221;If
239;Equivalent;Active;u-OLRN;4;0;1;1;0;1;[2];2;2;2.0;[2, 6, 9];2;9;5.666666666666667;[2];[5, 7];[0];[1, 1];221;If
240;Dead;Active;u-OLRN;4;0;1;1;0;0;[2];2;2;2.0;[2, 6, 9];2;9;5.666666666666667;[2];[5, 7];[0];[1, 1];221;If
241;Dead;Active;u-OLRN;4;1;1;1;0;0;[2];2;2;2.0;[2, 6, 9];2;9;5.666666666666667;[2];[5, 7];[0];[1, 1];221;If
242;Dead;Active;u-OLRN;4;0;1;1;0;0;[2];2;2;2.0;[2, 6, 9];2;9;5.666666666666667;[2];[5, 7];[0];[1, 1];221;If
